horario,dia,nombre_materia,claveempleado,,
11,5,2º3ª descarga,2643,,descarga
10,2,2º22ª descarga,2208,,descarga
10,4,2º24ª descarga,2208,,descarga
11,4,2º6ª descarga,9365,,descarga
12,4,2º7ª descarga,9365,,descarga
13,4,2º10ª descarga,9365,,descarga
14,4,2º13ª descarga,9365,,descarga
15,3,Preparación semanal,7376,,descarga
6,2,Preparación semanal,2204,,descarga
13,1,2º6ª descarga,4098,,descarga
13,2,2º12ª descarga,4098,,descarga
13,3,2º13ª descarga,4098,,descarga
13,4,2º14ª descarga,4098,,descarga
13,5,2º20ª descarga,4098,,descarga
13,2,3º18ª descarga,1754,,descarga
14,2,3º20ª descarga,1754,,descarga
14,2,2º9ª descarga,4093,,descarga
13,4,3º20ª descarga,1418,,descarga
3,3,Preparación semanal,1418,,descarga
4,3,Preparación semanal,1418,,descarga
1,2,Preparación semanal,1418,,descarga
2,2,Preparación semanal,1418,,descarga
