Fecha examen,Cve. Empleado,Hora inicio,Hora Fin
16/05/2013,851,07:00,08:30
16/05/2013,6323,07:00,08:30
16/05/2013,8493,07:00,08:30
16/05/2013,8182,07:00,08:30
16/05/2013,8182,07:00,08:30
16/05/2013,8182,07:00,08:30
16/05/2013,8882,07:00,08:30
16/05/2013,3628,07:00,08:30
16/05/2013,2797,07:00,08:30
16/05/2013,9398,07:00,08:30
16/05/2013,7972,07:00,08:30
16/05/2013,6827,14:00,15:30
16/05/2013,6554,14:00,15:30
16/05/2013,9107,14:00,15:30
16/05/2013,1291,14:00,15:30
16/05/2013,3841,14:00,15:30
16/05/2013,6996,14:00,15:30
16/05/2013,9267,14:00,15:30
16/05/2013,8182,14:00,15:30
16/05/2013,8182,14:00,15:30
16/05/2013,851,14:00,15:30
16/05/2013,6323,14:00,15:30
16/05/2013,8493,14:00,15:30
16/05/2013,8182,14:00,15:30
16/05/2013,8182,14:00,15:30
16/05/2013,8182,14:00,15:30
16/05/2013,7376,14:00,15:30
16/05/2013,8460,14:00,15:30
16/05/2013,6515,14:00,15:30
16/05/2013,8882,14:00,15:30
16/05/2013,3628,14:00,15:30
16/05/2013,2797,14:00,15:30
16/05/2013,9398,14:00,15:30
16/05/2013,7972,14:00,15:30
17/05/2013,8182,07:00,08:30
17/05/2013,8182,07:00,08:30
17/05/2013,6554,07:00,08:30
17/05/2013,9976,07:00,08:30
17/05/2013,8182,07:00,08:30
17/05/2013,8182,07:00,08:30
17/05/2013,8182,07:00,08:30
17/05/2013,8182,07:00,08:30
17/05/2013,8182,14:00,15:30
17/05/2013,8182,14:00,15:30
17/05/2013,8182,14:00,15:30
17/05/2013,8182,14:00,15:30
17/05/2013,8182,14:00,15:30
17/05/2013,8182,14:00,15:30
17/05/2013,7763,14:00,15:30
17/05/2013,9394,14:00,15:30
17/05/2013,851,14:00,15:30
17/05/2013,7381,14:00,15:30
17/05/2013,6996,14:00,15:30
17/05/2013,8182,14:00,15:30
17/05/2013,8466,14:00,15:30
20/05/2013,9267,07:00,08:30
20/05/2013,9976,07:00,08:30
20/05/2013,8182,07:00,08:30
20/05/2013,8808,07:00,08:30
20/05/2013,2943,07:00,08:30
20/05/2013,8182,07:00,08:30
20/05/2013,8182,07:00,08:30
20/05/2013,8182,07:00,08:30
20/05/2013,6827,08:30,10:00
20/05/2013,1291,08:30,10:00
20/05/2013,648,08:30,10:00
20/05/2013,8182,08:30,10:00
20/05/2013,8182,14:00,15:30
20/05/2013,8182,14:00,15:30
20/05/2013,8182,14:00,15:30
20/05/2013,8182,14:00,15:30
20/05/2013,8182,14:00,15:30
20/05/2013,3841,14:00,15:30
20/05/2013,2797,14:00,15:30
20/05/2013,8182,14:00,15:30
21/05/2013,2943,07:00,08:30
21/05/2013,2780,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,9976,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,8808,07:00,08:30
21/05/2013,1291,07:00,08:30
21/05/2013,9267,07:00,08:30
21/05/2013,851,07:00,08:30
21/05/2013,3628,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,7381,07:00,08:30
21/05/2013,2797,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,6323,07:00,08:30
21/05/2013,8182,07:00,08:30
21/05/2013,9107,07:00,08:30
21/05/2013,6996,07:00,08:30
21/05/2013,8466,07:00,08:30
21/05/2013,2943,14:00,15:30
21/05/2013,2780,14:00,15:30
21/05/2013,8182,14:00,15:30
21/05/2013,9976,14:00,15:30
21/05/2013,8182,14:00,15:30
21/05/2013,8808,14:00,15:30
21/05/2013,1291,14:00,15:30
21/05/2013,9267,14:00,15:30
21/05/2013,851,14:00,15:30
21/05/2013,7376,14:00,15:30
21/05/2013,8882,14:00,15:30
21/05/2013,8990,14:00,15:30
21/05/2013,3628,14:00,15:30
21/05/2013,8182,14:00,15:30
21/05/2013,8182,14:00,15:30
21/05/2013,7381,14:00,15:30
21/05/2013,2797,14:00,15:30
21/05/2013,8182,14:00,15:30
21/05/2013,6323,14:00,15:30
21/05/2013,8182,14:00,15:30
21/05/2013,9107,14:00,15:30
21/05/2013,6996,14:00,15:30
21/05/2013,8466,14:00,15:30
22/05/2013,648,07:00,08:30
22/05/2013,1291,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,9267,07:00,08:30
22/05/2013,9976,07:00,08:30
22/05/2013,6554,07:00,08:30
22/05/2013,2943,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,2797,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,3628,07:00,08:30
22/05/2013,851,07:00,08:30
22/05/2013,8182,07:00,08:30
22/05/2013,6323,07:00,08:30
22/05/2013,6996,07:00,08:30
22/05/2013,9398,07:00,08:30
22/05/2013,8466,07:00,08:30
22/05/2013,648,14:00,15:30
22/05/2013,1291,14:00,15:30
22/05/2013,8182,14:00,15:30
22/05/2013,8182,14:00,15:30
22/05/2013,9267,14:00,15:30
22/05/2013,9976,14:00,15:30
22/05/2013,6554,14:00,15:30
22/05/2013,2943,14:00,15:30
22/05/2013,8182,14:00,15:30
22/05/2013,2797,14:00,15:30
22/05/2013,8182,14:00,15:30
22/05/2013,8182,14:00,15:30
22/05/2013,8182,14:00,15:30
22/05/2013,3628,14:00,15:30
22/05/2013,851,14:00,15:30
22/05/2013,8182,14:00,15:30
22/05/2013,6323,14:00,15:30
22/05/2013,6996,14:00,15:30
22/05/2013,9398,14:00,15:30
22/05/2013,8466,14:00,15:30
23/05/2013,8182,14:00,15:30
23/05/2013,6323,14:00,15:30
