id empleado;numAula;semestre;dia;Fecha;hora ini;hora fin
6827;1;5;1;01/10/2012;07:00;08:20
648;2;5;1;01/10/2012;07:00;08:20
9976;4;5;1;01/10/2012;07:00;08:20
2943;5;5;1;01/10/2012;07:00;08:20
8808;6;5;1;01/10/2012;07:00;08:20
8989;7;5;1;01/10/2012;07:00;08:20
1291;8;5;1;01/10/2012;07:00;08:20
1737;28;1;1;01/10/2012;07:00;08:20
6515;1;3;2;25/09/2012;14:00;15:20
6526;1;3;4;27/09/2012;14:00;15:20
2888;1;3;5;28/09/2012;14:00;15:20
648;1;3;1;24/09/2012;14:00;15:20
648;1;3;3;26/09/2012;14:00;15:20
2013;2;3;5;28/09/2012;14:00;15:20
2888;2;3;2;25/09/2012;14:00;15:20
430;2;3;4;27/09/2012;14:00;15:20
2550;2;3;4;27/09/2012;14:00;15:20
894;2;3;4;27/09/2012;14:00;15:20
2473;2;3;3;26/09/2012;14:00;15:20
6881;3;3;3;26/09/2012;14:00;15:20
7098;3;3;4;27/09/2012;14:00;15:20
1346;3;3;1;24/09/2012;14:00;15:20
8882;3;3;1;24/09/2012;14:00;15:20
9138;3;3;5;28/09/2012;14:00;15:20
8951;3;3;1;24/09/2012;14:00;15:20
6526;3;3;2;25/09/2012;14:00;15:20
6881;4;3;1;24/09/2012;14:00;15:20
7582;4;3;3;26/09/2012;14:00;15:20
7582;4;3;5;28/09/2012;14:00;15:20
2173;4;3;4;27/09/2012;14:00;15:20
7379;4;3;2;25/09/2012;14:00;15:20
2891;4;3;4;27/09/2012;14:00;15:20
8951;4;3;4;27/09/2012;14:00;15:20
9138;5;3;4;27/09/2012;14:00;15:20
838;5;3;3;26/09/2012;14:00;15:20
838;5;3;5;28/09/2012;14:00;15:20
577;5;3;2;25/09/2012;14:00;15:20
6741;5;3;1;24/09/2012;14:00;15:20
6515;6;3;5;28/09/2012;14:00;15:20
9033;6;3;3;26/09/2012;14:00;15:20
9033;6;3;4;27/09/2012;14:00;15:20
8882;6;3;5;28/09/2012;14:00;15:20
2888;6;3;1;24/09/2012;14:00;15:20
2550;6;3;2;25/09/2012;14:00;15:20
8951;6;3;5;28/09/2012;14:00;15:20
8991;7;3;2;25/09/2012;14:00;15:20
8991;7;3;4;27/09/2012;14:00;15:20
6526;7;3;1;24/09/2012;14:00;15:20
648;7;3;5;28/09/2012;14:00;15:20
2012;8;3;2;25/09/2012;14:00;15:20
430;8;3;1;24/09/2012;14:00;15:20
8990;8;3;1;24/09/2012;14:00;15:20
1737;8;3;1;24/09/2012;14:00;15:20
1737;8;3;3;26/09/2012;14:00;15:20
577;8;3;5;28/09/2012;14:00;15:20
2888;8;3;4;27/09/2012;14:00;15:20
6515;9;3;1;24/09/2012;14:00;15:20
6515;9;3;3;26/09/2012;14:00;15:20
7972;9;3;2;25/09/2012;14:00;15:20
7582;9;3;4;27/09/2012;14:00;15:20
6741;9;3;5;28/09/2012;14:00;15:20
2550;10;3;3;26/09/2012;14:00;15:20
7379;10;3;3;26/09/2012;14:00;15:20
8990;10;3;3;26/09/2012;14:00;15:20
8461;10;3;2;25/09/2012;14:00;15:20
8461;10;3;5;28/09/2012;14:00;15:20
7761;10;3;4;27/09/2012;14:00;15:20
7761;10;3;1;24/09/2012;14:00;15:20
7972;11;3;3;26/09/2012;14:00;15:20
9394;11;3;1;24/09/2012;14:00;15:20
9394;11;3;4;27/09/2012;14:00;15:20
6741;11;3;2;25/09/2012;14:00;15:20
7379;11;3;5;28/09/2012;14:00;15:20
6526;12;3;5;28/09/2012;14:00;15:20
430;12;3;2;25/09/2012;14:00;15:20
8701;12;3;3;26/09/2012;14:00;15:20
894;12;3;2;25/09/2012;14:00;15:20
8461;12;3;1;24/09/2012;14:00;15:20
8461;12;3;4;27/09/2012;14:00;15:20
648;12;3;2;25/09/2012;14:00;15:20
2012;13;3;5;28/09/2012;14:00;15:20
9033;13;3;2;25/09/2012;14:00;15:20
6881;13;3;4;27/09/2012;14:00;15:20
2364;13;3;1;24/09/2012;14:00;15:20
2364;13;3;3;26/09/2012;14:00;15:20
8701;14;3;2;25/09/2012;14:00;15:20
648;14;3;4;27/09/2012;14:00;15:20
7761;14;3;3;26/09/2012;14:00;15:20
3908;14;3;1;24/09/2012;14:00;15:20
3908;14;3;5;28/09/2012;14:00;15:20
6881;15;3;2;25/09/2012;14:00;15:20
6881;15;3;5;28/09/2012;14:00;15:20
7379;15;3;1;24/09/2012;14:00;15:20
577;15;3;3;26/09/2012;14:00;15:20
577;15;3;4;27/09/2012;14:00;15:20
2012;16;3;4;27/09/2012;14:00;15:20
2173;16;3;2;25/09/2012;14:00;15:20
430;16;3;5;28/09/2012;14:00;15:20
1346;16;3;2;25/09/2012;14:00;15:20
6556;16;3;1;24/09/2012;14:00;15:20
2550;16;3;5;28/09/2012;14:00;15:20
894;16;3;5;28/09/2012;14:00;15:20
8951;16;3;2;25/09/2012;14:00;15:20
894;16;3;3;26/09/2012;14:00;15:20
9138;17;3;2;25/09/2012;14:00;15:20
430;17;3;3;26/09/2012;14:00;15:20
1346;17;3;3;26/09/2012;14:00;15:20
1346;17;3;4;27/09/2012;14:00;15:20
1346;17;3;5;28/09/2012;14:00;15:20
2550;17;3;1;24/09/2012;14:00;15:20
8882;17;3;3;26/09/2012;14:00;15:20
2012;18;3;3;26/09/2012;14:00;15:20
7098;18;3;5;28/09/2012;14:00;15:20
